longitude,latitude,SoilMoi40_100cm_inst_month_1,SoilMoi40_100cm_inst_month_2,SoilMoi40_100cm_inst_month_3,SoilMoi40_100cm_inst_month_4,SoilMoi40_100cm_inst_month_5,SoilMoi40_100cm_inst_month_6,SoilMoi40_100cm_inst_month_7,SoilMoi40_100cm_inst_month_8,SoilMoi40_100cm_inst_month_9,SoilMoi40_100cm_inst_month_10,SoilMoi40_100cm_inst_month_11,SoilMoi40_100cm_inst_month_12,year
-71.5,-54.5,151.1897,155.845,158.6868,164.3154,168.7816,169.2294,165.4561,165.1808,164.2633,163.0026,158.3874,155.0176,2010
-70.5,-54.5,202.8266,208.0402,209.8344,213.2643,216.1334,215.9576,214.3302,213.5492,212.1007,211.2798,207.2531,204.5012,2010
-69.5,-54.5,268.1227,273.2383,273.7098,277.1519,280.6327,278.9788,273.7768,276.149,276.7277,287.2676,275.2815,270.8285,2010
-68.5,-54.5,132.139,138.3927,139.4119,147.2955,155.0839,155.6402,146.5933,146.7476,166.6667,176.9866,151.6474,141.4235,2010
-67.5,-54.5,122.3261,123.3576,124.0671,135.9778,151.1368,157.8152,148.5884,155.4386,166.2642,158.5067,146.9458,137.1707,2010
-66.5,-54.5,133.8545,132.9674,136.345,148.4826,161.7491,165.09,160.9774,163.7921,158.1808,159.1422,151.1492,146.5765,2010
-72.5,-53.5,161.9567,164.265,169.0195,174.3739,175.163,170.1321,171.7874,159.9483,171.2116,172.9947,166.6506,164.0136,2010
-71.5,-53.5,149.7504,151.7237,154.4923,166.4486,170.6662,167.9772,166.8852,170.3946,163.6926,159.4908,154.5037,146.7697,2010
-69.5,-53.5,120.396,118.1589,116.3906,126.5862,144.5667,161.9299,170.1589,168.3187,164.7372,159.3837,147.3476,133.5046,2010
